video_id,f1,iou,precision,recall
vid9,0.43721866607666016,0.27976956963539124,0.35760098695755005,0.562443196773529
vid8,0.7244012355804443,0.5678911209106445,0.7686968445777893,0.6849324107170105
vid7,0.33686456084251404,0.20254789292812347,0.21914182603359222,0.7278820276260376
vid4,0.6589294672012329,0.4913458824157715,0.7917143106460571,0.5642881393432617
vid15_crowd,0.7264658212661743,0.5704329013824463,0.8895419239997864,0.6139186024665833
vid6,0.3749237656593323,0.23071148991584778,0.31417369842529297,0.46479952335357666
vid3_bats,0.8051642775535583,0.673870325088501,0.9256156086921692,0.7124521136283875
vid10,0.5963841676712036,0.42489129304885864,0.6349951028823853,0.5621995329856873
vid2_human,0.6498722434043884,0.48134127259254456,0.5620796084403992,0.7701664566993713
vid13,0.6778557300567627,0.512694239616394,0.7062312960624695,0.6516723036766052
vid5,0.7466013431549072,0.595661461353302,0.7553920745849609,0.7380127906799316
vid11_brightbats,0.6394667029380798,0.470011830329895,0.7005742192268372,0.588164210319519
vid12,0.790132999420166,0.653074324131012,0.8652828335762024,0.7269936800003052
vid1,0.590890645980835,0.4193362295627594,0.4946785867214203,0.733564555644989
vid11,0.6653065085411072,0.49847137928009033,0.7355157136917114,0.6073330640792847
vid2,0.8711423277854919,0.7717025279998779,0.955467939376831,0.8004940152168274
vid3,0.7334859371185303,0.5791376233100891,0.7541233897209167,0.7139479517936707
vid16,0.671921968460083,0.5059356093406677,0.7645062804222107,0.5993399024009705
vid17,0.7333837151527405,0.5790101289749146,0.8608437776565552,0.638800323009491
vid18,0.4222998321056366,0.2676679790019989,0.30556970834732056,0.6833420991897583
